directory_rank,project_name,builders,project_url,demo_url,is_citizen,primary_theme,visit_status,final_url,page_title,hosting_bucket,citizen_overlap_signal_count,citizen_overlap_signals,flag_prototype_disclosure,flag_multilingual,flag_plain_language_or_own_words,flag_voice_or_speech,flag_ai_chat_or_copilot,flag_consent_privacy_or_sharing,flag_tracking_status_deadline_or_next_step,flag_documents_evidence_or_records,flag_eligibility_rules_or_benefits,flag_offline_low_data_or_weak_network,flag_accessibility_signal,flag_life_event_signal,flag_explicit_actor_or_owner,flag_provenance_or_source_boundary,supplemental_evidence_basis,supplemental_demo_summary
11,UdyamPass,Ronak Raj,https://udyampass.vercel.app/,https://drive.google.com/file/d/1Lxpybaji3PG7rvNaL7H0nYMcDW5ykymL/view?usp=sharing,False,"Benefits, loans & financial inclusion",loaded_visible_content,https://udyampass.vercel.app/,UdyamPass — A clearer path to business funding,Vercel,5,prototype_disclosure|multilingual|plain_language_or_own_words|ai_chat_or_copilot|tracking_status_deadline_or_next_step,True,True,True,False,True,False,True,False,False,False,False,False,False,False,,
12,EPFO Reimagined,Sudikhya Goswami & Tanmay Mehra,https://pf-fix-india.sudikhya.chatgpt.site/memberinterface,https://www.loom.com/share/6044ce0458dc4acba140634e0f0410e0,False,"EPFO, pensions & employment claims",loaded_minimal_or_client_only,about:blank,,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
13,SevaRail — Zero-Reset Booking Recovery for Indian Railways,Tej Narayan Singh,https://seva-rail.vercel.app/,https://drive.google.com/file/d/1SKEySj5qPODCfSQ9kX3ZZsNTVT8wtyvW/view?usp=sharing,False,"Rail, transit & travel booking",loaded_visible_content,https://seva-rail.vercel.app/,SevaRail — Booking Recovery Prototype,Vercel,8,prototype_disclosure|multilingual|voice_or_speech|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits|accessibility_signal,True,True,False,True,False,True,True,True,True,False,True,False,False,False,,
14,Kriya.in: Onestop Civic Portal,Kanha Chandravanshi & Vasudev Pande,https://kriya-in.vercel.app/,https://drive.google.com/drive/folders/1TkEUz3e3YAUSZoqCp8QdDy-ISNbaG1gF?usp=share_link,False,Cross-service platforms & infrastructure,loaded_visible_content,https://kriya-in.vercel.app/,Kriya.in - National Services Portal,Vercel,9,prototype_disclosure|multilingual|ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|accessibility_signal|life_event_signal|provenance_or_source_boundary,True,True,False,False,True,True,True,True,False,False,True,True,False,True,,
15,Raahi — Transport Services Without the Maze,Ankit Mishra,https://raahi-parivahan.raahi-bwmi.workers.dev/en,https://www.loom.com/share/2d37b22978e94a0fab11ca016c92b358,False,Road transport & vehicles,loaded_visible_content,https://raahi-parivahan.raahi-bwmi.workers.dev/en,Raahi · Transport services without the maze,Cloudflare,7,prototype_disclosure|multilingual|plain_language_or_own_words|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits,True,True,True,False,False,True,True,True,True,False,False,False,False,False,,
16,GRAHAK-DRISHTI,U S S S R Siddhu Chunduri & Dhanush P,https://grahak-drishti-citizen-web.vercel.app/,https://www.youtube.com/watch?v=HJ_EqaRWbmw,False,Grievance & civic accountability,loaded_visible_content,https://grahak-drishti-citizen-web.vercel.app/,GRAHAK-DRISHTI | Report a consumer issue,Vercel,4,prototype_disclosure|plain_language_or_own_words|consent_privacy_or_sharing|tracking_status_deadline_or_next_step,True,False,True,False,False,True,True,False,False,False,False,False,False,False,,
17,"CASEFILE -- आपका मामला, आपकी कहानी, एक जगह।",Swarnim Tiwari,https://casefile-india.vercel.app/,https://drive.google.com/drive/folders/1tP7LOQhj-R5q6e5QekDlioPWIJgGlAss?usp=drive_link,False,Grievance & civic accountability,loaded_visible_content,https://casefile-india.vercel.app/,CASEFILE — Citizen-First Civic Docket Engine,Vercel,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
18,Cutoff Lens,Harin Mani Karri,https://cutofflens.vercel.app/,https://drive.google.com/file/d/1C8HvBjxH-IO9Fav-NprG0ss7gxIEEw1D/view?usp=sharing,False,"Education, jobs & skills",loaded_visible_content,https://cutofflens.vercel.app/,Cutoff Lens,Vercel,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
19,Project Saakshi,Rahul D & Sudharshan Sakthivel,https://saakshi-v2.rahu760.chatgpt.site/,https://drive.google.com/file/d/1MTfATWk3-Hx1bNuuFyNugTomzWvRSU4z/view?usp=sharing,False,"Cybercrime, scams & public safety",loaded_minimal_or_client_only,about:blank,,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
20,sahi return,Anish Singh Chauhan & Kunwar Divyansh Verma,https://buildwhatmovesindia.iiviie.dev/,https://drive.google.com/file/d/1E8lgGE0kemNhnhHaozf4uNZaw4sUT1RZ/view?usp=sharing,False,"Tax, GST & filings",loaded_visible_content,https://buildwhatmovesindia.iiviie.dev/,Salaried ITR filing demo | Sahi Return,Other/custom,4,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records|offline_low_data_or_weak_network,True,False,False,False,False,False,True,True,False,True,False,False,False,False,,
21,MCA Business Registry mockup portal,Rahul Rajelli,https://bwmi-mca-gateway.rahullrvithal.workers.dev/,https://bwmi-mca-gateway.rahullrvithal.workers.dev/training/what-it-takes.mp4,False,"Business, MSME & compliance",loaded_visible_content,https://bwmi-mca-gateway.rahullrvithal.workers.dev/,MCA mockup portal — Corporate Services,Cloudflare,9,prototype_disclosure|multilingual|ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|accessibility_signal|life_event_signal|provenance_or_source_boundary,True,True,False,False,True,True,True,True,False,False,True,True,False,True,,
22,Poora Hua?,Aastik Nayyar & Navjeet Singh,https://poora-hua.vercel.app/,https://drive.google.com/file/d/1Qj3xowAOyBkgmSafnflVfaVa0W-k75je/view?usp=drivesdk,False,Grievance & civic accountability,loaded_visible_content,https://poora-hua.vercel.app/,Poora Hua? - check a closed grievance actually got fixed,Vercel,3,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,
23,UDID Raasta: A clear route for specially abled after rejection,Krishna Chaitanya,https://udid-raasta.chitu-atukuri2000.chatgpt.site/,https://drive.google.com/drive/folders/18s23T2LyhuQankUxNLzFbDWrn9BRM8-f?usp=sharing,False,"Health, emergency & accessibility",loaded_minimal_or_client_only,about:blank,,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
24,KhelPath - Sports OS for India,Siddharth Patel,https://khelpath-india.sidpatel961.chatgpt.site/,https://www.loom.com/share/aa1531e5d12540698dc8aa2e100b6dbf,False,"Education, jobs & skills",loaded_visible_content,https://khelpath-india.sidpatel961.chatgpt.site/,KhelPath India - One clear next step in sport,ChatGPT Sites,6,prototype_disclosure|multilingual|ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,True,False,False,True,True,True,True,False,False,False,False,False,False,,
25,Rail Bharat,Bhagat Singh,https://rail-app.sass-hub.cloud/,https://drive.google.com/drive/folders/1hbwHWZhvBlv21mErb74zHZCfNitvmOP3?usp=sharing,False,"Rail, transit & travel booking",loaded_visible_content,https://rail-app.sass-hub.cloud/,रेल Bharat — Build What Moves India,Other/custom,1,ai_chat_or_copilot,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,
26,Sahayak,Shreyaan Seth,https://sahayak.anosher.com/,https://youtu.be/jShTq1AFX2I,False,Cross-service platforms & infrastructure,loaded_visible_content,https://sahayak.anosher.com/,Sahayak,Other/custom,4,multilingual|tracking_status_deadline_or_next_step|documents_evidence_or_records|life_event_signal,False,True,False,False,False,False,True,True,False,False,False,True,False,False,,
27,Golden-Hour,Arham Begani,https://golden-hour-kappa.vercel.app/,https://youtu.be/ql0ffWSjSDw,False,"Cybercrime, scams & public safety",loaded_visible_content,https://golden-hour-kappa.vercel.app/,Golden Hour — report a fraud in sixty seconds,Vercel,2,prototype_disclosure|tracking_status_deadline_or_next_step,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,
28,Disha,Dhruv Gupta & Ramanpreet Kaur,https://disha-neon.vercel.app/,https://drive.google.com/file/d/149OkDWpwkhrSn3cOTP7keD4ulndzQSdd/view?usp=sharing,False,"Benefits, loans & financial inclusion",loaded_visible_content,https://disha-neon.vercel.app/,Disha,Vercel,5,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits|explicit_actor_or_owner,True,False,False,False,False,False,True,True,True,False,False,False,True,False,,
29,Meri Pehchaan 2.0,Sambit Swarup,https://meri-pehchaan-concept.vercel.app/,https://youtu.be/AHGAxmtyeqs,False,Cross-service platforms & infrastructure,loaded_visible_content,https://meri-pehchaan-concept.vercel.app/,Meri Pehchaan 2.0 — one button for every government service,Vercel,8,prototype_disclosure|multilingual|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|offline_low_data_or_weak_network|accessibility_signal|life_event_signal,True,True,False,False,False,True,True,True,False,True,True,True,False,False,,
30,Udyam Search: Find Indian MSMEs and MCA-Registered Companies,Taher Ismail Jodhpurwala,https://udyamsearch.com/,https://www.youtube.com/watch?v=VamSMePAqlM,False,"Business, MSME & compliance",loaded_visible_content,https://udyamsearch.com/,Udyam Search — Search Indian MSMEs and companies,Other/custom,2,prototype_disclosure|documents_evidence_or_records,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,
31,RAASTA,Padmesh Kumar Mahalik,https://padmeshmahalik.github.io/public.../,https://www.image2url.com/r2/default/videos/1788020814517-5cc7871f-29e7-4ca7-86e5-805ef1188c08.mov,False,"Tax, GST & filings",loaded_visible_content,https://padmeshmahalik.github.io/public.../,RAASTA — find your path,GitHub Pages,6,prototype_disclosure|multilingual|plain_language_or_own_words|voice_or_speech|tracking_status_deadline_or_next_step|eligibility_rules_or_benefits,True,True,True,True,False,False,True,False,True,False,False,False,False,False,,
32,UPI Recall,Ansh Jain,https://upi-rescue-india.super-lime-3442.chatgpt.site/,https://drive.google.com/file/d/17EEqp9VNXQHMpNaKk5CdpbozhPPh-QzZ/view?usp=sharing,False,"Cybercrime, scams & public safety",navigation_timeout,https://upi-rescue-india.super-lime-3442.chatgpt.site/,UPI Recall — Faster fraud response,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,User-supplied summary of the project demo video on 2026-09-02,"Fraud recovery starts inside the original payment app. Transaction details are prefilled, identity is verified, banks trace and freeze remaining funds, and evidence, reviews, protected funds, and case status stay in one view. The prototype distinguishes protecting funds from restoring them."
33,RTI reply navigator,Surya Harshith Balla,https://rti-reply-map.harshith794.chatgpt.site/,https://www.loom.com/share/752390345a22407eb172c5ac39f11db8,False,"RTI, courts, law & elections",loaded_minimal_or_client_only,https://rti-reply-map.harshith794.chatgpt.site/,RTI Reply Navigator — Making RTI smooth as butter,ChatGPT Sites,1,tracking_status_deadline_or_next_step,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,
34,RecordSathi,Varad Bharat Yadav & Sarvesh Patil,https://recordsaathi-n193u11jf-xen10.vercel.app/,https://echowave.io/app/watch/S6E4b6gt9oVuKseE0mka/,False,"Identity, documents, passports & visas",loaded_visible_content,https://recordsaathi-n193u11jf-xen10.vercel.app/,RecordSaathi,Vercel,3,prototype_disclosure|consent_privacy_or_sharing|documents_evidence_or_records,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,
35,JansahAI,Dhairya Aggarwal & Parth Arora,https://jansahai.shipjoy.io/,https://jansahai.shipjoy.io/video,False,"Cybercrime, scams & public safety",loaded_visible_content,https://jansahai.shipjoy.io/,Jansah.AI — Report a cybercrime by talking,Other/custom,5,prototype_disclosure|voice_or_speech|ai_chat_or_copilot|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,False,False,True,True,False,True,True,False,False,False,False,False,False,,
36,Kwik : know who is in Krisis,Swyam Sharma & Jayati Ahuja,https://pulse112-dispatch-ai.vercel.app/dashboard,https://youtu.be/JdzAXL08_24,False,"Cybercrime, scams & public safety",loaded_visible_content,https://pulse112-dispatch-ai.vercel.app/dashboard,Dispatch AI — Emergency Command Platform,Vercel,3,voice_or_speech|ai_chat_or_copilot|tracking_status_deadline_or_next_step,False,False,False,True,True,False,True,False,False,False,False,False,False,False,,
37,United Transit Interface,Srinivasa Gopalan K & Kamal Kumar R,https://uti.alturing.dev/,https://drive.google.com/file/d/1EOKMHSpkOhg6qsDc5E-fAfjzb4nJ3e47/view?usp=sharing,False,"Rail, transit & travel booking",loaded_visible_content,https://uti.alturing.dev/,Unified Transit Interface,Other/custom,1,tracking_status_deadline_or_next_step,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,
38,Claimity,Jayant Joshi,https://claim-continuity-india.jjoshi221.chatgpt.site/,https://youtu.be/cezwDssys2Y,False,"Benefits, loans & financial inclusion",loaded_minimal_or_client_only,about:blank,,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
39,PM-KISAN Sahayak (पीएम-किसान सहायक),Sachin Kumar Singh,https://pm-kisan-sahayak.vercel.app/,https://drive.google.com/file/d/1shf0Pob8UxLqpdjEUUeWgFMBwb6j6GwD/view?usp=sharing,False,"Benefits, loans & financial inclusion",loaded_minimal_or_client_only,https://pm-kisan-sahayak.vercel.app/,PM-KISAN Sahayak | पीएम-किसान सहायक,Vercel,2,multilingual|ai_chat_or_copilot,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,
40,Public Service Atlas,Salman Mushir,https://public-service-atlas.vercel.app/,https://youtu.be/qO8IXAT9rfg,False,Cross-service platforms & infrastructure,loaded_visible_content,https://public-service-atlas.vercel.app/,Public Service Dependency Atlas,Vercel,4,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records|life_event_signal,True,False,False,False,False,False,True,True,False,False,False,True,False,False,,
41,My Next Filing,Sarthak Mishra,https://mynextfiling.wekeep.in/,https://mynextfiling.wekeep.in/,False,"Tax, GST & filings",loaded_minimal_or_client_only,about:blank,,Other/custom,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
42,SAHI - Simplified Assistance for Harmonizing Identity,Anuj Kumar,https://sahi-correction-demo.kumaranuj7039.workers.dev/,https://sahi-correction-demo.kumaranuj7039.workers.dev/,False,"Identity, documents, passports & visas",loaded_visible_content,https://sahi-correction-demo.kumaranuj7039.workers.dev/,SAHI · A safer correction journey,Cloudflare,8,prototype_disclosure|multilingual|ai_chat_or_copilot|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits|accessibility_signal|life_event_signal,True,True,False,False,True,False,True,True,True,False,True,True,False,False,,
43,राहत · Raahat,Shivang Shirodkar,https://raahat-nu.vercel.app/,https://youtu.be/-6Nf0sGyBzM,False,"Health, emergency & accessibility",loaded_visible_content,https://raahat-nu.vercel.app/,राहत · Raahat,Vercel,7,prototype_disclosure|multilingual|plain_language_or_own_words|voice_or_speech|ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step,True,True,True,True,True,True,True,False,False,False,False,False,False,False,,
44,PAN Path,Sameer Siddiqui,https://pan-path.vercel.app/,https://youtube.com/shorts/ILWWhc5BXCo?feature=share,False,"Identity, documents, passports & visas",loaded_visible_content,https://pan-path.vercel.app/,Not sure what to do about your PAN? · PAN Path,Vercel,3,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,
45,INDRA,Abhishek A S,https://indra.abhishekas.in/,https://drive.google.com/file/d/1g-34Ml-NI9oSF_P6Hh6v03eBRgrIFL_w/view?usp=sharing,False,Cross-service platforms & infrastructure,loaded_visible_content,https://indra.abhishekas.in/,web,Other/custom,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
46,Cybercrime Restitution Model,Aryan Soni,https://coral-skunk-339023.hostingersite.com/track,https://drive.google.com/file/d/182-JWinTFSlZPzWWceDTxkFQx-xq78JO/view?usp=sharing,False,"Cybercrime, scams & public safety",loaded_visible_content,https://coral-skunk-339023.hostingersite.com/track,CyberCrime Restitution Model — Demonstration,Other/custom,6,prototype_disclosure|multilingual|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|accessibility_signal,True,True,False,False,False,True,True,True,False,False,True,False,False,False,,
47,Bijli Saathi,Varun Parmar & Vishesh Mamoria,https://temporary-rapid-hawthorn-k4yip9z.vercel.app/,https://drive.google.com/drive/u/0/folders/1iF11ip0sWTx2nov2WBwnyTwO_6n0byNI,False,"Land, housing, utilities & environment",loaded_visible_content,https://temporary-rapid-hawthorn-k4yip9z.vercel.app/,Bijli Saathi — Fix your electricity bill,Vercel,3,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,
48,VendorPass,Jasraj singh & Karan Yadav,https://nfssi.vercel.app/,https://drive.google.com/drive/folders/1eP8iRABNw5TxlhkIvm9Htg_HOrZ3oOPn?usp=sharing,False,"Business, MSME & compliance",loaded_visible_content,https://nfssi.vercel.app/,StreetSanitation & VendorPass,Vercel,6,prototype_disclosure|multilingual|voice_or_speech|ai_chat_or_copilot|documents_evidence_or_records|accessibility_signal,True,True,False,True,True,False,False,True,False,False,True,False,False,False,,
49,Nagrik Consumer Grievance Case Builder,Dinesh Latha Jothimoorthy,https://nagrik-mu.vercel.app/,https://www.loom.com/share/b887f1bfbaef44f4849eddff7e26e395,False,Grievance & civic accountability,loaded_visible_content,https://nagrik-mu.vercel.app/,Nagrik · Consumer Grievance Case Builder,Vercel,8,prototype_disclosure|plain_language_or_own_words|ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|offline_low_data_or_weak_network|accessibility_signal,True,False,True,False,True,True,True,True,False,True,True,False,False,False,,
50,NCRP One Case,Taran Pal Singh,https://ncrp-one-case.vercel.app/,https://www.loom.com/share/539613391db54d26ad339aac0cb32f76,False,"Cybercrime, scams & public safety",loaded_visible_content,https://ncrp-one-case.vercel.app/,NCRP One Case,Vercel,3,prototype_disclosure|plain_language_or_own_words|tracking_status_deadline_or_next_step,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,
51,36Pages,Anjul Bhatia,https://36pages.vercel.app/,https://36pages.vercel.app/video,False,"Identity, documents, passports & visas",loaded_visible_content,https://36pages.vercel.app/,36Pages | Better Passport Seva,Vercel,4,ai_chat_or_copilot|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits,False,False,False,False,True,False,True,True,True,False,False,False,False,False,,
52,TDR SAHAYAK,Suhrudh Arjarapu & Akula Dhatri Manohar Siva Kumar,https://tdr-sahayak.vercel.app/,https://www.loom.com/share/9da764cdb88f4f7283a36e1cbaf23839,False,"Rail, transit & travel booking",loaded_visible_content,https://tdr-sahayak.vercel.app/,TDR Sahayak,Vercel,3,prototype_disclosure|plain_language_or_own_words|tracking_status_deadline_or_next_step,True,False,True,False,False,False,True,False,False,False,False,False,False,False,,
53,Pf service check,Bhoomika S Shetty & Raksha,https://latentsig-pf-service-check.pages.dev/,https://drive.google.com/file/d/1OzdbbapLeY-JJVIdHlhWj1nSAb4rHxb6/view?usp=drivesdk,False,"EPFO, pensions & employment claims",loaded_visible_content,https://latentsig-pf-service-check.pages.dev/,PF Service Check — Service-period guidance prototype,Cloudflare,5,prototype_disclosure|multilingual|consent_privacy_or_sharing|documents_evidence_or_records|eligibility_rules_or_benefits,True,True,False,False,False,True,False,True,True,False,False,False,False,False,,
54,Adayal,Sri Santh M,https://adayal.pages.dev/,https://drive.google.com/file/d/18VSRcJ1qCTsNg_8LWNAzhzWl5LbzK8DU/view?usp=sharing,False,"Identity, documents, passports & visas",loaded_visible_content,https://adayal.pages.dev/overview,Overview · Adayal,Cloudflare,3,prototype_disclosure|consent_privacy_or_sharing|documents_evidence_or_records,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,
55,Seedha Kaam,Aayush Sharma,https://seedha-kaam.vercel.app/,https://docs.google.com/document/d/106R498G6G5_GgL8BvX3jXhDEcCHl1NJr3hWJU8Y7xrE/edit?usp=sharing,False,"Land, housing, utilities & environment",loaded_visible_content,https://seedha-kaam.vercel.app/,Seedha काम — khata transfer without a middleman,Vercel,6,prototype_disclosure|multilingual|ai_chat_or_copilot|tracking_status_deadline_or_next_step|documents_evidence_or_records|provenance_or_source_boundary,True,True,False,False,True,False,True,True,False,False,False,False,False,True,,
56,Railflow,Mohammed Tahir,https://agent-6a87137a163f707--euphonious-baklava-13932a.netlify.app/,https://drive.google.com/file/d/1r9b_8bWJxp4fXV3KHpbs0dxPPQXYBbkp/view?usp=drivesdk,False,"Rail, transit & travel booking",loaded_visible_content,https://agent-6a87137a163f707--euphonious-baklava-13932a.netlify.app/,RailFlow: Seat Release Visibility | Independent Prototype,Netlify,4,prototype_disclosure|multilingual|tracking_status_deadline_or_next_step|offline_low_data_or_weak_network,True,True,False,False,False,False,True,False,False,True,False,False,False,False,,
57,ECI VOTER PORTAL,Rishabh Lal,https://eci-voter-project.netlify.app/,https://drive.google.com/drive/folders/1DWXdGkBA8_wTrf8pz_AZkWlt_9nwGHlB?usp=sharing,False,"RTI, courts, law & elections",loaded_visible_content,https://eci-voter-project.netlify.app/,"Election Commission of India — Elections, Explained",Netlify,6,prototype_disclosure|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits|accessibility_signal,True,False,False,False,False,True,True,True,True,False,True,False,False,False,,
58,Raasta,Pitani Vanya Triloka,https://raasta-11.netlify.app/,https://www.loom.com/share/78dab6c829a648e18ad8d306e0d5b7d2,False,"Land, housing, utilities & environment",loaded_visible_content,https://raasta-11.netlify.app/,Raasta — Citizen infrastructure prototype,Netlify,3,prototype_disclosure|ai_chat_or_copilot|tracking_status_deadline_or_next_step,True,False,False,False,True,False,True,False,False,False,False,False,False,False,,
59,Drivesaathi,Riya Jain & Prathmesh Namdeo,https://drivesaathi-codex.onrender.com/,https://drive.google.com/file/d/1EJ1yLZyA4Eh6Vfc89esoCVBIeCREb9J0/view?usp=sharing,False,Road transport & vehicles,loaded_host_wakeup_screen,https://drivesaathi-codex.onrender.com/,Render - Application loading,Render,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
